Name,Years active,Active From,Active To,Proven victims,Possible victims,Status,Notes,Source
"Jablonski, Phillip Carl",1978–1991,1978,1991,5,5,Died in prison awaiting execution,Murdered women in California and Utah,
"Jackson, Calvin",1973–1974,1973,1974,9,9,Sentenced to life imprisonment,"Murdered and robbed women in Manhattan's East Side, abusing their corpses post-mortem",[226]
"Jackson, Charles",1975–1982,1975,1982,8,8+,Died in prison,Responsible for at least eight of the East Bay Slayer murders,[227]
"Jennings, Wilbur Lee",1981–1984,1981,1984,6,6+,Died in prison,"Known as ""The Ditchbank Killer""; raped and murdered women in Fresno and Sacramento County, California, dumping their bodies in ditches afterwards",[228]
"Jesperson, Keith Hunter",1990–1995,1990,1995,8,8+,Sentenced to life imprisonment,"Known as ""The Happy Face Killer""",[229]
"Johnson, John",1843–?,1843,1843,0,300+,Died 1900,"Known as ""Liver-Eating Johnson""; mountain man who allegedly ate the livers of Crows he'd slain",[230]
"Johnson, Martha Ann",1977–1982,1977,1982,3,4,Sentenced to death; commuted to life,Georgia woman convicted of smothering to death three of her children between 1977 and 1982,[231]
"Johnson, Matthew Steven",2000–2001,2000,2001,3,5,Sentenced to life imprisonment,Preyed on disenfranchised young women in Connecticut,[232]
"Johnson, Milton",1983–1984,1983,1984,10,10+,Sentenced to death; commuted to life imprisonment,Victims included two deputy sheriffs,[70]
"Johnson, Vincent",1999–2000,1999,2000,5,5,Sentenced to life imprisonment,"Known as ""The Brooklyn Strangler""",[233]
"Jones, Genene",1977–1982,1977,1982,2,60+,Sentenced to 99 years in prison,"Texas pediatric nurse who poisoned infants in her care; was due to be released March 2018; however, prosecutors charged her with two additional murders",[234][235][236][237]
"Jones, Jack Harold",1983–1995,1983,1995,3,3+,Executed 2017,Murdered at least three women in Florida and Arkansas; a serial rapist was wrongfully convicted for one murder,[238]
"Jones, Syd",1900s–1914,1900,1914,13,13,Executed 1915,Drifter who admitted to a dozen murders committed across the USA,[239]
"Joubert, John",1982–1983,1982,1983,3,3,Executed 1996,"Known as ""The Nebraska Boy Snatcher""",[240]
"Junco, Francisco del",1995–1996,1995,1996,4,4,Sentenced to life imprisonment,Cuban immigrant who murdered and then burned the bodies of prostitutes in Miami,[241]
"Kadamovas, Jurijus",2001–2002,2001,2002,5,5,Sentenced to death,Murdered five people in California with accomplice Iouri Mikhel.,[242]
"Kallinger, Joseph",1974–1975,1974,1975,3,3,Died in prison,Committed these crimes with his 15-year-old son Michael,[243]
"Kearney, Patrick",1965–1977,1965,1977,21,43,Sentenced to life imprisonment,"Known as ""The Trash Bag Killer""",[244]
"Keith, Leroy",1934–1956,1934,1956,3,3,Executed 1959,Shot three men during holdups in Ohio and New York,[245]
"Kelley, John William",1986–1988,1986,1988,3,3,Sentenced to life imprisonment,Convicted rapist who killed a young hitchhiker and a married couple in rural California,[246]
Kelly Family,1887,1887,1887,11,12,Killed by vigilantes,Family of serial killers who killed and robbed wealthy travellers in No Man's Land,[247]
"Kemper, Edmund",1964–1973,1964,1973,10,10,Sentenced to life imprisonment,"Known as ""The Co-Ed Killer""; murdered his grandparents at age 15; released at age 21, he then murdered seven young women, as well as his mother, in California",[248]
"Keyes, Israel",1990s–2012,1990,2012,3,11+,Committed suicide while in custody,Three confirmed victims; linked to 11 victims in four states,[249]
"Kibbe, Roger",1977–1987,1977,1987,7,7,Sentenced to life imprisonment,"Known as ""The I-5 Strangler""",[250]
"Kimball, Scott Lee",2003–2004,2003,2004,4,5+,70-year sentence,FBI Informant; proposed as a suspect in the West Mesa murders,[251]
"Kimes, Sante",1996–1998,1996,1998,2,3,Died in prison,"Criminal who's responsible for numerous crimes committed with her son, Kenneth Jr.",[252]
"Kinne, Sharon",1962–1964,1962,1964,3,3,Escaped from prison 1969,Her arrest warrant is one the longest outstanding in American history,[253]
"Kirkland, Anthony",1987–2009,1987,2009,5,6,Sentenced to death,Preyed on young women in the Cincinnati area,[254][255]
"Klimek, Tillie",1914–1921,1914,1921,5,7,Died in prison,Polish-born Chicago poisoner,
"Knapp, Alfred",1894–1902,1894,1902,5,5+,Executed 1904,"Known as ""The Hamilton Strangler""",[256]
"Knight, Thomas",1974–1980,1974,1980,4,4,Executed 2014,Murdered four people between 1974 and 1980,[257][258][259]
"Knorr, Theresa",1984–1985,1984,1985,2,3,Sentenced to two life sentences,"Her sons, William and Robert Jr., were accomplices",[260]
"Knotek, Michelle",1994–2003,1994,2003,2,3,22 years in prison,Tortured and abused boarders in her home with her husband,[261]
"Knowles, Paul John",1974,1974,1974,18,35,Killed by police attempting to escape from custody,"Known as ""The Casanova Killer""",[262][263]
"Kohlhepp, Todd",2003–2016,2003,2016,7,7+,Sentenced to life imprisonment,"Responsible for several murders in South Carolina, including the ""Superbike Murders""",[264][265]
"Kokoraleis, Andrew",1981–1982,1981,1982,18,18,Executed 1999,"Member of the satanic cult and organized crime group known as ""The Ripper Crew"" or ""The Chicago Rippers""",[164][266]
"Kokoraleis, Thomas",1981–1982,1981,1982,18,18,"Released March 29, 2019","Member of the satanic cult and organized crime group known as ""The Ripper Crew"" or ""The Chicago Rippers""",[164][165]
"Kondro, Joseph",1985–1996,1985,1996,2,3+,Died in prison,"Known as ""The Longview Serial Killer""; kidnapped, sexually assaulted and murdered underage girls across Washington State",[267]
"Kraft, Randy",1971–1983,1971,1983,16,67,Sentenced to death,"Known as ""The Scorecard Killer""",[268]
"Krajcir, Timothy",1977–1982,1977,1982,9,9,Sentenced to life imprisonment,Confessed to killing five women in Missouri and four others in Illinois and Pennsylvania,[269]
"Kudzinowski, Peter",1924–1928,1924,1928,3,3,Executed 1929,Imprisoned for the murder of a friend. Murdered two children following his release.,
"Kunnecke, William",1898–1903,1898,1903,1,3,Unknown,Escaped from prison in 1919,[270]
"LaBarre, Sheila",2004–2006,2004,2006,2,4,Sentenced to life imprisonment without parole,Claimed she was an angel sent by God to punish pedophiles,[271]
"Lake, Leonard",1983–1985,1983,1985,11,25,Committed suicide while in custody,"Along with accomplice Charles Ng, they are also known as ""The Operation Miranda Killers""",[272][273][274][275][276]
"LaLaurie, Delphine",1834,1834,1834,?,?,"Died in Paris, France",Tortured and maimed her slaves,[277]
"Lane, Adam Leroy",2007,2007,2007,2,2+,Sentenced to 50 years,"Known as ""The Highway Killer""",[278][279][280]
"Lassor, Raymond",1984,1984,1984,3,3,Sentenced to life imprisonment,First criminal to be successfully prosecuted under the 1984 Rhode Island 'Life Without Parole Statute',[281]
"Laudenberg, Adolph",1972–1975,1972,1975,4,6,Sentenced to life imprisonment,"Known as ""The Santa Strangler""",[282]
"Lee, Derrick Todd",1992–2003,1992,2003,7,7+,Died in prison awaiting execution,"Known as ""The Baton Rouge Serial Killer""; convicted of two murders; linked by DNA evidence to five others",[283]
"Legg, Samuel",1990–1992,1990,1992,5,5+,Found not guilty by reason of insanity and committed for life to Twin Valley Behavioral Health Center,Suspect in some of the Dr. No murders,[284]
"Lewingdon, Gary",1977–1978,1977,1978,10,10,Died in prison,"Together with brother Thaddeus Lewingdon, known as ""The .22 Caliber Killers""",[285][286]
"Lewingdon, Thaddeus",1977–1978,1977,1978,9,9,Died in prison,"Together with brother Gary Lewingdon, known as ""The .22 Caliber Killers""",[285][287]
"Lindahl, Bruce",1974–1981,1974,1981,2,12+,Died from accidental self-inflicted injuries,Posthumously connected to various rape-murders in Chicago and surrounding area,[288]
"Lipscomb, Nathaniel",1958–1959,1958,1959,3,4,Executed 1961,"Known as ""The Dawn Strangler""; beat, raped and strangled three women in Baltimore",[289]
"Little, Jerry",1985–1988,1985,1988,4,4,Uncertain,"Raped and strangled women in St. Louis, Missouri",[290]
"Little, Samuel",1970–2005,1970,2005,61,93+,Died in prison,"Known as ""The Choke-and-Stroke Killer""; transient who allegedly killed 93 women in 14 states",[291][292]
"Lockett, Will",1912–1920,1912,1920,4,4,Executed 1920,Guilt has been questioned,[293]
"Lockhart, Michael Lee",1987–1988,1987,1988,4,6+,Executed 1997,Received death sentences in three states; executed by the state of Texas,
"Long, Bobby Joe",1984,1984,1984,10,10+,Executed 2019,"Known as ""The Classified Ad Rapist""",[294]
"Longley, Bill",1869–1878,1869,1878,32,32,Executed 1878,Gunfighter who killed unarmed slaves and Mexicans,[295]
"Lucas, Henry Lee",1960–1983,1960,1983,3,200+,Died in prison,"Convicted of 11 murders, confessed to approximately 3,000 murders, although most of his confessions are considered outlandish",[296][297]
"Madison, Michael",2012–2013,2012,2013,3,3,Sentenced to death,"Preyed on women in East Cleveland, Ohio",[298]
"Majors, Orville Lynn",1993–1995,1993,1995,6,130,Died in prison,"Licensed practical nurse who was convicted of murdering his patients in Clinton, Indiana",[299]
"Malvo, Lee Boyd",2002,2002,2002,7,17,"Life imprisonment without parole (overturned on May 26, 2017; Supreme Court of the United States heard the case on October 16, 2019.[300]","With accomplice John Allen Muhammad, perpetrated the D.C. sniper attacks",[301]
"Mansfield, Billy",1975–1980,1975,1980,5,5+,Sentenced to life imprisonment,"Murdered women and girls in Florida and California, burying most of them in the family home in Weeki Wachee",[302]
"Marquette, Richard Laurence",1956–1975,1956,1975,3,3,Sentenced to life imprisonment,First 11th person named on the FBI's 10 Most Wanted List,[303]
"Martin, James David",1989–2005,1989,2005,3,3,66 years imprisonment,"Strangled three across three states, including his wife",[304]
"Martin, Lee Roy",1967–1968,1967,1968,4,4,Died in prison,"Known as ""The Gaffney Strangler""",[305][306][307]
"Martin, Rhonda Belle",1926–1951,1926,1951,1,6,Executed 1957,Alabama woman who poisoned family members,
"Mason, David",1980–1982,1980,1982,5,6,Executed 1993,Killed four elderly neighbours in 1980 and his cellmate in 1982 while imprisoned on lesser charges; suspected of shooting dead his boyfriend,[308]
"Mason, Samuel",1797–1803,1797,1803,20,20+,Killed/Died from injuries received during a shoot-out,River pirate associated with the Harpe brothers and other outlaws,[309]
"Matthew, Jesse",2009–2014,2009,2014,2,7,Sentenced to life imprisonment,"Believed to have raped, murdered, and sexually assaulted multiple women in Virginia from 2002 to 2014",[310]
"Maust, David Edward",1974–2003,1974,2003,5,5,Committed suicide in prison,"Convicted of killing five teenage boys; one in Germany in 1974, another in 1981, and three he buried in his basement",[311][312]
"Mayrand, Edward",1983–1994,1983,1994,3,3,Died in prison,Strangled to death three women around New England,[313]
"McCarthy, Kimberly",1997–1998,1997,1998,1,3,Executed 2013,Crack addict who murdered a neighbour; suspect in two similar murders,[314]
"McDuff, Kenneth",1966–1992,1966,1992,9,14+,Executed 1998,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder commuted; killed three days after 1989 parole",[315][316]
"McFadden, Jerry Walter",1973–1986,1973,1986,4,4,Executed 1999,"Known as ""The Animal""",[317]
"McKnight, Anthony",1985,1985,1985,5,5,Died in prison,Rapist who killed young girls and women in Oakland; responsible for some of the East Bay Slayer murders,[318]
"Meirhofer, David",1967–1974,1967,1974,4,4,Committed suicide,First serial killer to be apprehended via usage of offender profiling,[319]
"Melanson, Roy",1974–1988,1974,1988,3,5+,Sentenced to life imprisonment,Drifter connected to the rape-murders of at least three women in three states,[320]
"Metheny, Joe",1976–1996,1976,1996,5,10,Died in prison,"Raped and murdered women in Baltimore, allegedly cannibalizing his victims",[321]
"Mikhel, Iouri Gherman",2001–2002,2001,2002,5,5,Sentenced to death,Murdered five people in California with accomplice Jurijus Kadamovas.,[242]
"Miller, Joseph Daniel",1986–1990,1986,1990,5,5+,Sentenced to death; commuted to life imprisonment,"Kidnapped, raped and strangled black women around Harrisburg, Pennsylvania",[322]
"Moore, Henry Lee",1911–1912,1911,1912,2,25,Unknown,"Suspect in the Villisca axe murders; sentenced to life imprisonment for killing his mother and grandmother with an axe, later commuted and released from prison in 1956",[323]
"Moore, Manuel",1973–1974,1973,1974,15,73+,Sentenced to life imprisonment,"Part of ""The Death Angels"" cult responsible for the Zebra murders",[89]
"Morin, Stephen",1969–1981,1969,1981,4,48,Executed 1985,Suspected in over 30 unsolved violent crimes across the country,[324]
"Morris, Dontae",2010,2010,2010,5,7,Sentenced to life imprisonment; later changed to the death sentence,"Murdered three men in drug-related scandals, as well as two policemen who tried to arrest him; also suspected in the deaths of two other men.",[325]
"Mors, Frederick",1914–1915,1914,1915,8,8,Committed suicide while a fugitive,Committed to Hudson River State Hospital; escaped in May 1916,[326]
"Moseley, Winston",1963–1964,1963,1964,3,3,Died in prison,"Necrophile who sexually assaulted and murdered three women, including Kitty Genovese",[327]
"Mosley, Eddie",1973–1987,1973,1987,8,16+,Died in prison,"Raped and murdered numerous young girls and women in and around Fort Lauderdale, Florida",[328]
"Muhammad, John Allen",2002,2002,2002,7,17,Executed 2009,"With accomplice Lee Boyd Malvo, perpetrated the D.C. sniper attacks",[329]
"Mullin, Herbert",1972–1973,1972,1973,11,13,Sentenced to life imprisonment,Eligible for parole in 2021,[330]
"Murphy, Donald",1979–1980,1979,1980,2,6+,60 years imprisonment,Murdered between two and at least six prostitutes in Detroit; another man was wrongfully suspected of three murders,[331]
"Nance, Wayne",1974–1986,1974,1986,0,5+,Killed by intended victim,"Known as ""The Missoula Mauler""",[332][333]
"Nardello, Antonio",1884–1885,1884,1885,3,3,Executed 1886,"Italian laborer who robbed and murdered other laborers in Maryland and Washington, D.C.",[334]
"Naso, Joseph",1977–1994,1977,1994,6,10,Sentenced to death,Suspect in the Alphabet murders,[335]
"Neelley, Alvin",1982,1982,1982,2,2,Died in prison,Committed murders with wife Judith Neelley,[336]
"Neelley, Judith",1982,1982,1982,2,2,Death sentence commuted to life imprisonment,Committed murders with husband Alvin Neelley,
"Nelson, Earle",1926–1927,1926,1927,22,22+,Executed 1928,"Known as ""The Gorilla Man""",[337]
"Newman, Allan Patterson",1991–1992,1991,1992,4,4,Died in prison,Murdered carjacking victims during a three-state crime spree,[338]
"Ng, Charles",1983–1985,1983,1985,11,25,Sentenced to death,"Along with accomplice Leonard Lake, they are also known as ""The Operation Miranda Killers""",[273][274][275][276][339]
"Nixon, Robert",1937–1938,1937,1938,3,5,Executed 1939,"Nixon served, in part, as the basis of the character of Bigger Thomas in Richard Wright's 1940 social protest novel Native Son",
"Noe, Marie",1949–1968,1949,1968,8,8,Sentenced to 20 years probation in 1998,Murdered eight of her children; two others died of natural causes,[340]
"Norris, Roy",1979,1979,1979,5,5,Died in prison,"With accomplice Lawrence Bittaker known as ""Tool Box Killers""",[35]
"Northcott, Gordon Stewart",1926–1928,1926,1928,3,20,Executed 1930,"His mother, Sarah Louise Northcott, was implicated as an accomplice",[341]
"Ocampo, Itzcoatl",2011–2012,2011,2012,6,6,Committed suicide before trial,"Former marine suspected of killing six people around Orange County, California",[342]
"O'Dell, Diane",1982–1985,1982,1985,3,4,Sentenced to life imprisonment,Murdered her illegitimate infants,[343]
"Pace, Lyndon Fitzgerald",1988–1989,1988,1989,4,5,Sentenced to death,"In 1990, he robbed the apartment of Coretta Scott King",[344]
"Panzram, Carl",1920–1929,1920,1929,5,22,Executed 1930,"Murderer, rapist, and arsonist; convicted of two murders, but confessed to 19 others",[345]
"Pardo, Manuel",1986,1986,1986,9,9,Executed 2012,Former police officer,[346]
"Parker, Gerald",1978–1978,1978,1978,6,6,Sentenced to death,"Known as ""The Bedroom Basher""",[347]
"Peete, Louise",1913–1944,1913,1944,3,3+,Executed 1947,Convicted of murdering a man and woman decades apart; four other acquaintances died suspiciously and four husbands committed suicide,[348]
"Pennell, Steven Brian",1987–1988,1987,1988,2,5,Executed 1992,"Known as ""The Route 40 Killer""",[349]
"Peterson, Christopher",1990,1990,1990,4,7,120 years imprisonment,"Known as ""The Shotgun Killer""",[350]
"Pierce, William",1970–1971,1970,1971,9,9+,Sentenced to life imprisonment,One of his victims was the daughter of a South Carolina state senator,[351]
"Piper, Thomas W.",1873–1875,1873,1875,2,2+,Executed 1876,"Known as ""The Boston Belfry Murderer""",[352]
"Player, Michael",1986,1986,1986,10,10,Committed suicide to avoid apprehension,"Known as ""The Skid Row Slayer""",[353]
"Pomeroy, Jesse",1874,1874,1874,2,9,Died in prison,"Known as ""The Boy Torturer""",[354]
"Powers, Harry",1931,1931,1931,5,5+,Executed 1932,"Known as ""The West Virginia Bluebeard""",[355]
"Presley, Aeman",2014,2014,2014,4,4,Sentenced to life imprisonment,"Shot and killed people in DeKalb and Fulton Counties, Georgia during robberies",[356]
"Price, Craig",1987–1989,1987,1989,4,4,Incarcerated,Convicted as a minor; given an additional 10–25 year sentence for assaulting a corrections officer in prison,[357]
"Priest, Martin",1980–1985,1980,1985,2,5,Sentenced to life imprisonment,"Convicted of murdering a young girl and one man in both Missouri and Kansas; acquitted, but still main suspect, in three other deaths",[358]
"Prince Jr., Cleophus",1990,1990,1990,6,6,Sentenced to death,"Known as ""The Clairemont Killer""",[359]
"Pruett, Marion Albert",1981,1981,1981,5,5,Executed 1999,Committed his crimes while in the United States Federal Witness Protection Program,[360]
"Pruitt, Pleasant",1888–1902,1888,1902,3,3,Committed suicide to avoid apprehension,Murdered his three wives in Indiana,[361]
"Puente, Dorothea",1982–1988,1982,1988,9,15,Died in prison,Convicted of three killings; suspected of six others,[362]
"Rachals, Terri",1980–1986,1980,1986,6,9,Released 2003,"Former nurse who murdered patients at Phoebe Putney Memorial Hospital in Albany, Georgia with potassium chloride",[363]
"Rader, Dennis",1974–1991,1974,1991,10,10,Incarcerated–life imprisonment,"Known as ""The BTK Killer""",[364]
"Ramirez, Richard",1984–1985,1984,1985,14,14,Died in prison awaiting execution,"Known as ""The Night Stalker""",[365]
"Rasmussen, Terry Peder",1978–2002,1978,2002,6,6+,Died in prison,"Known as ""The Chameleon Killer""; main suspect in the Bear Brook murders, as well as other murders",[366]
"Ray, David Parker",1950s–1999,1950,1999,0,60,Died in prison,"Convicted of kidnapping and torture in 2001, but never convicted of murder",[367]
"Reed, Todd Alan",1999,1999,1999,3,5,Sentenced to life imprisonment,"Known as ""The Forest Park Killer""",[368]
"Rees, Melvin",1957–1959,1957,1959,5,9+,Died in prison,"Known as ""The Sex Beast""",[9][unreliable source?]
"Reeves, Jack",1967–1994,1967,1994,4,4,99 years imprisonment,Killed his three wives after they planned to leave him; also killed a man while stationed in Italy,[369]
"Reid, Paul Dennis",1997,1997,1997,7,7,Died in prison awaiting execution,"Known as ""The Fast Food Killer""",[370]
"Rembert, Robert",1997–2015,1997,2015,5,5+,Sentenced to life imprisonment,Truck driver who killed people across Ohio,[371]
"Reséndiz, Ángel Maturino",1986–1999,1986,1999,10,16,Executed 2006,"Known as ""The Railroad/Railway/Railcar Killer""",[372]
"Rhoades, Robert Ben",1975–1990,1975,1990,3,50+,Sentenced to life imprisonment,"Known as ""The Truck Stop Killer""",[373]
"Richards, Stephen Dee",1876–1878,1876,1878,9,9,Executed 1879,"Known as ""The Nebraska Fiend""",[374]
"Ridgway, Gary",1982–1998,1982,1998,49,90+,Sentenced to life imprisonment,"Known as ""The Green River Killer""",[375]
"Rifkin, Joel",1989–1993,1989,1993,9,17+,Incarcerated for 203 years to life,Mostly preyed on sex workers in New York City and Long Island,[376]
"Rissell, Montie",1976–1977,1976,1977,5,5,Sentenced to life imprisonment,"Raped and murdered women in Alexandria, Virginia",[70]
"Ritchie, James Dale",2016,2016,2016,5,5+,Killed by police during apprehension,"Known as ""The Anchorage Serial Killer""",[377]
"Rivera, Reinaldo",1999–2000,1999,2000,4,4,Sentenced to death,"Abducted, raped and killed women in the Augusta metropolitan area",[378]
"Robinson, Alonzo",1926–1934,1926,1934,2,6,Executed 1935,Grave robber and cannibal convicted of a double murder; also suspected of murdering four women,[379]
"Robinson, Harvey Miguel",1992–1993,1992,1993,3,3,Sentenced to death,"Teenager who stalked, raped and killed",[380]
"Robinson, John Edward",1984–1999,1984,1999,8,8+,Sentenced to death,"Sometimes referred to as ""The Internet's first serial killer""",[381]
"Robinson, Sarah Jane",1881–1886,1881,1886,8,11,Died in prison,"Known as ""The Boston Borgia""",[382]
"Rodriguez, Robert Neal",1984–1992,1984,1992,3,3,Committed suicide while a fugitive,Former police officer,[383]
"Rogers, Dayton Leroy",1983–1987,1983,1987,7,8+,Sentenced to death,"Known as ""The Molalla Forest Killer""",[384]
"Rogers, Glen Edward",1993–1995,1993,1995,4,5,Sentenced to death,Death sentence currently under appeal,[385]
"Rolling, Danny",1989–1990,1989,1990,8,8,Executed 2006,"Pleaded guilty to murdering five students in Gainesville, Florida",[386]
"Ross, Michael Bruce",1981–1984,1981,1984,8,8+,Executed 2005,"Known as ""The Roadside Strangler""",[387]
"Rozier, Robert",1981–1986,1981,1986,4,7,Serving 25 years to life on a conviction for check kiting under a third strike law,Former NFL player; sentenced to 22 years for murder after agreeing to testify against Yahweh ben Yahweh's organization,[388]
"Rulloff, Edward H.",1844–1870,1844,1870,3,5,Executed 1871,"Known as ""The Genius Killer""",[389][390]
"Runge, Paul",1995–1997,1995,1997,7,8+,Sentenced to death; commuted to life imprisonment,Sexually assaulted and murdered women and one girl in Cook and DuPage counties in Illinois,[391]
"Russell, George Waterfield",1990,1990,1990,3,3,Sentenced to life imprisonment,"Known as ""The Charmer""; raped and murdered women in Seatte suburbs, mutilating and having sex with the corpses afterwards",[392]
"Rutterschmidt, Olga",1999–2005,1999,2005,2,2,Sentenced to life imprisonment without parole,"Killed vagrants with her partner-in-crime, Helen Golay",[393]
"Saenz, Kimberly Clark",2008,2008,2008,5,10+,Sentenced to life imprisonment,Killed five patients by injecting bleach into their dialysis lines,.[394]
"Saldivar, Efren",1988–1998,1988,1998,6,50+,Sentenced to life imprisonment,Respiratory therapist who murdered his patients at Adventist Health Glendale,
"Sanchez, Altemio",1990–2006,1990,2006,3,3+,Incarcerated 75 years to life,"Known as ""The Bike Path Rapist""; responsible for three murders and numerous rapes spanning a 25-year period in Buffalo, New York",[395][396][397]
"Santo, Anthony",1908,1908,1908,3,3,Supposedly died while incarcerated at Taunton Lunatic Asylum,"Juvenile who murdered two cousins and a girl during ""mad spells""",[398]
"Schaefer, Gerard John",1969–1973,1969,1973,2,34,Murdered in prison by fellow inmate Vincent Rivera,"Imprisoned in 1973 for the murders of two women while he was a sheriff's deputy in Martin County, Florida",[399]
"Schmid, Charles",1964,1964,1964,3,4,Murdered in prison by unknown assailants,"Known as ""The Pied Piper of Tucson""",[400]
"Schmidt, Helmuth",1913–1917,1913,1917,1,4+,Committed suicide in prison,"Known as ""The American Bluebeard""",[401]
"Seda, Heriberto",1990–1993,1990,1993,3,3,Sentenced to life imprisonment,New York City copycat of the Zodiac Killer; selected his victims based on their astrological signs,[402]
"Segundo, Juan",1986–1995,1986,1995,4,4+,Sentenced to death,Raped and killed young girls and women in the Fort Worth area,[403]
"Sellers, Sean",1985–1986,1985,1986,3,3,Executed 1999,"One of 22 persons in the United States since the reinstatement of the death penalty in 1976 to be executed for a crime committed while under the age of 18, and the lone to have been executed for crime committed under the age of 17",[404]
"Sells, Tommy Lynn",1980–1999,1980,1999,6,22+,Executed 2014,"Confessed to murdering dozens of people, possibly in excess of 70, only six are confirmed",[405][406]
"Selz, Ralph Jerome Von Braun",1930–1935,1930,1935,1,5,Unknown,"Known as ""The Laughing Killer""",[407][408]
"Severance, Charles",2003–2014,2003,2014,3,3,Sentenced to life imprisonment,Murdered elderly residents in Alexandria out of hatred for the rich,[409]
"Shaw, Sebastian",1991–1992,1991,1992,3,13,Sentenced to life imprisonment,"Murdered victims selected at random in Portland, Oregon; confessed to additional murders, including one in California",[410]
"Shawcross, Arthur",1972–1989,1972,1989,12,14,Died in prison,"Known as ""The Genesee River Killer""",[411]
"Sherman, Lydia",1863–1877,1863,1877,12,12,Died in prison,"Known as ""The Derby Poisoner""",[412]
"Shermantine, Wesley",1984–1999,1984,1999,4,19,Sentenced to death,"Along with accompliace Loren Herzog, known as ""The Speed Freak Killers""",[413]
"Shore, Anthony Allen",1986–1995,1986,1995,4,4+,Executed 2018,"Known as ""The Tourniquet Killer""",[414] [415]
"Shulman, Robert",1991–1996,1991,1996,5,5,Died in prison,Preyed on sex workers in New York,[416]
"Siebert, Daniel Lee",1979–1986,1979,1986,10,13,Died in prison,Killed nine people across America in three months; responsible for at least one of the Southside Slayer murders,[417][unreliable source?] [418]
"Silveria Jr., Robert Joseph",1981–1996,1981,1996,9,14+,Sentenced to life imprisonment,"Known as ""The Boxcar Killer""; alleged member of Freight Train Riders of America",[419][420]
"Simon, J.C.X.",1973–1974,1973,1974,15,73+,Died in prison,"Part of ""The Death Angels"" cult responsible for the Zebra murders",[89]
"Sinclair, Charles T.",1980–1990,1980,1990,13,13+,Died in prison,"Known as ""The Coin Shop Killer""",[421]
"Smith, Lemuel",1958–1981,1958,1981,5,6,Sentenced to death; commuted to life,First convict to kill an on-duty female corrections officer,[422]
"Smith, Mark Alan",1969–1970,1969,1970,4,12+,Sentenced to life imprisonment,Convicted of killing at least four women in Illinois and Arkansas; claimed in his book to have murdered eight women while stationed in Germany,[423]
"Solomon Jr., Morris",1986–1987,1986,1987,6,7,Sentenced to death,"Known as ""The Sacramento Slayer""",[424]
"Southard, Lyda",1915–1920,1915,1920,6,6,Released in 1941,"Known as ""Flypaper Lyda""; serial poisoner who killed four husbands, a young daughter and a brother-in-law",[425]
"Sowell, Anthony",2007–2009,2007,2009,11,11,Sentenced to death,"Known as ""The Cleveland Strangler"" and ""The Imperial Avenue Murderer""",[426]
"Spencer, Timothy Wilson",1984–1988,1984,1988,5,5,Executed 1994,"Known as ""The Southside Strangler""",[427]
"Spillman, Jack Owen",1994–1995,1994,1995,3,3,Sentenced to life imprisonment,"Known as ""The Werewolf Butcher""",[428]
"Spreitzer, Edward",1981–1982,1981,1982,18,18,Sentenced to life imprisonment,"Member of the satanic cult and organized crime group known as ""The Ripper Crew"" or ""The Chicago Rippers""","[164] ""[165]"
"Stafford, Roger Dale",1974–1978,1974,1978,9,34,Executed 1995,His wife implicated in 34 different murders in seven different states,[429]
"Stano, Gerald",1969–1980,1969,1980,22,41+,Executed 1998,Guilt has been questioned,[430]
"Stayner, Cary",1999,1999,1999,4,4,Sentenced to death,Brother of kidnap victim Steven Stayner,[431][432]
"Stephani, Paul Michael",1980–1982,1980,1982,3,3,Died in prison,"Known as ""The Weepy-Voiced Killer"" due to a series of telephone calls he made to police, anonymously reporting his crimes in a remorseful and high-pitched voice; active in the Minneapolis–Saint Paul area",[433][434]
"Stickles, Martin",1899–1900,1899,1900,3,3,Executed 1901,"Known as ""The Kelso Killer""; murdered three people during robberies in Cowlitz County, Washington",[435]
"Stokes, Winford",1969–1978,1969,1978,3,3,Executed 1990,Career criminal and prison escapee who murdered people in St. Louis,[436]
"Strong, Preston",2005–2007,2005,2007,7,7,Sentenced to death,Was sentenced to life in prison for the 2007 murder of a doctor during a home robbery; was later found guilty of the murder of a family of six during a robbery from 2005,[437]
"Suff, William",1974–1992,1974,1992,12,22,Sentenced to death,"Known as ""The Riverside Prostitute Killer""",[438]
"Sumpter, Michael",1969–1973,1969,1973,3,3,Died in 2001,"Raped and murdered women in the Boston area, including Jane Britton",
"Swango, Michael",1981–1997,1981,1997,4,60,Sentenced to life imprisonment,Physician and surgeon,[439]
"Swann, James",1993,1993,1993,4,4,Found not guilty by reason of insanity and confined to Saint Elizabeths Hospital,"Known as ""The Shotgun Stalker""",[440]
"Taborsky, Joseph ""Mad Dog""",1950–1957,1950,1957,7,7,Executed 1960,Only convict to be sentenced to death twice for different crimes,[441]
"Tann, Georgia",1924–1950,1924,1950,19,19+,Died of uterine cancer before she could be arrested,Child trafficker who sold kidnapped children to the black market,[442]
"Terry, Charles E.",1951–1963,1951,1963,1,4+,Died in prison,Suspected of committing some of the Boston Strangler murders,[443]
"Tholmer, Brandon",1981–1983,1981,1983,12,34,Sentenced to life imprisonment,"Known as ""The West Side Rapist""; preyed on elderly women in Westside, Los Angeles County",[444]
